gevşetmek	111-2114-B,114-1274-B,114-1521-B,129-2466-B,155-1989-B,175-2558-B,181-2250-B,201-222-B,201-3498-B,202-2827-B,203-707-B
geyik	58-2517-S
geyik boynuzu	8-1234-B
geyik karaca	48-3272-B
geyik yavrusu	74-1247-B
geyşa	84-1695-B
gez	45-1642-B
gezdirmek	133-2711-B,139-2186-B
gezegen	139-1354-B
gezgin	106-1334-B
gezginci	106-1351-B,136-1515-B,139-1384-B,208-35-B
gezi	69-3345-S,107-972-B,196-1159-B
gezici	78-1379-B
gezinme	151-2825-B
gezinmek	85-509-B,86-2281-B,118-2598-B,131-3138-B,146-2619-B,148-530-S,152-112-B,185-835-B,208-0-B
gezinti	69-34-B,106-2049-B,107-163-S,146-2638-B,151-2840-B,159-1640-S,163-1570-B
gezme	146-2656-B,160-775-B,185-851-B,199-2831-B,207-2547-B,207-2741-B
gezmek	15-2502-B,45-491-S,69-991-B,106-2063-B,160-786-B,190-1182-B,207-2558-B
gezmek dolaşmak	114-374-B
gezmen	197-1992-B
geğirme	16-2850-B
geğirmek	16-2865-B,24-1595-B
geğirti puskurtu	16-2881-B
gibi	11-8-B,94-3077-S,95-2043-B,112-1984-B,116-2355-S,123-1506-S,134-926-S,150-1613-B,160-2796-S,171-2579-S,171-2636-S,179-1424-S,186-3314-S,189-1502-S
gibi gercekte	3-3008-S
gibi umit verici	160-2811-S
gider	70-31-S
giderici	41-2758-B
giderme	41-2637-B
gidermek	56-2193-B,62-1912-B,131-1742-B,158-2173-B
gidilecek yer	52-513-B
gidip getirmek	75-1656-B
gidiş	42-2959-B,69-2292-B,83-2073-B,83-2085-S,83-2413-S,86-2304-B,87-258-B,117-1019-B,131-586-B,131-3152-B,184-1892-B,192-311-B,192-1362-B,207-2570-B,209-1045-B
gidiş kalkış	50-2547-B
gidişat	162-936-B
gidişme	106-1143-B
gidişmek	106-1157-B
girdap	62-1040-B,149-999-B,159-3037-B,189-1569-B,211-290-B
giren	100-2456-B
girgin	21-2678-B,175-1539-B
girgin sempatik	175-1555-B
girift	108-1819-B
girinti	50-2108-B,153-2674-B
giriş	2-472-B,3-2962-S,59-772-B,66-143-B,66-313-B,66-371-B,103-889-B,104-1301-B,105-1406-B,144-0-B,146-2535-B,205-2585-B
giriş başlangıc	144-15-B
girişim atılgan	65-2836-S
girişken	149-2110-B
girişkenlik	65-2790-B,90-722-B
girişme	201-2396-B
girişmek	63-3020-B,65-2626-B,72-2228-B,123-2092-B,140-718-B,168-972-B,190-2677-B
girme	66-159-B,66-384-B,100-2471-B,102-3628-B,135-1433-B
girmek	17-2179-S,34-2613-B,65-2642-B,101-462-B,135-1210-S,135-1253-B,148-2497-B,149-2426-B
gitarist	90-424-B
gitme	12-1904-B,73-1741-B,86-2314-B,133-2990-B,133-3270-B
gitmek	8-0-B,50-2371-B,69-2304-B,78-1179-B,79-2289-B,85-562-B,86-2323-B,110-2525-B,123-1251-B,123-2828-B,132-24-B,151-96-B,156-803-B,156-1853-B,157-3186-B,162-949-B,195-1120-B,198-2322-B,207-2688-S
gitmeyen	202-2118-S
gitmiş	87-432-B
giydirmek	12-2553-B,60-822-B,84-353-B,85-1798-B,159-1982-B
giyecek	183-1357-B
giyim	60-838-B
giyim vites	84-1622-S
giyinmek	59-525-B,60-850-B
giyotin	90-276-B
giysi	60-865-B,84-332-S,84-371-B,151-2130-B,205-2626-B,209-2040-B,213-2577-B
giysi dolabı	208-721-B
giz	83-1816-B
gizem	124-3060-B
gizemci	124-3133-B
gizemcilik	124-3190-B
gizemli	124-3041-B,124-3148-B
gizleme	25-2640-B,43-560-B,166-1497-B
gizlemek	21-28-B,24-1891-B,25-2659-B,32-2904-B,36-3883-B,43-371-B,55-4032-B,57-616-B,94-1127-B,117-2216-B,128-3339-B,140-2049-B,165-1648-B,166-1463-B,168-2492-B,171-216-B,174-754-B
gizlenme	149-347-B
gizlenmek	55-4050-B
gizlenmiş	36-3900-B
gizli	9-3293-B,14-423-B,19-984-B,25-267-B,31-3082-B,33-269-B,38-76-B,43-688-B,45-1376-B,47-916-B,67-566-B,83-1050-B,83-1064-S,94-1089-B,103-987-B,124-3163-B,128-3355-B,145-1440-B,145-1471-S,154-623-B,166-1305-B,168-2860-B,175-154-B,188-1804-B,200-2444-B,201-1642-B,201-1726-B
gizli anlaşma suikast	39-1523-B
gizli el altından	31-3100-B
gizli mahrem	38-95-B
gizlice	145-1781-B,201-1803-B
gizlilik	37-3907-B,145-1355-B,145-1389-S,166-1255-B
glikojen	86-1987-B
glikol	86-2005-B
glikoz	86-1891-B
glokom	85-2876-B
gnays	86-2083-B
gobek	41-1849-B,92-1927-B,120-1621-B,125-2234-B,134-1707-B,142-1568-B
goblen	191-297-B
goc	78-624-B,123-2840-B
gocebe	127-184-B
gocme	28-1285-B,34-390-B,98-1994-B,133-3284-B
gocmek	34-407-B,50-2121-B,64-782-B,120-1874-B
gocmen	64-747-B,64-816-B,98-1957-B
gocucu	120-1891-B
gok	93-1221-B,173-586-B,178-2046-B,204-2756-B
gok sema	93-1233-B
gokce	139-2667-B
gokdelen	173-670-B
gokkuşağı	151-2214-B
goksel	58-1198-B
gokyakut	163-2853-B
gokyuzu	13-3082-B,67-2577-S
gol	109-1325-B,208-2797-B
golcuk	141-1424-S,174-285-B,208-2808-B
golcul	109-1057-B
golek	148-1952-B,208-2823-B
golet	148-1966-B,208-2836-B
golge	47-927-B,168-2507-B
golge siper	168-2520-B
golgeleme	4-384-B
golgelemek	26-665-B,33-504-B,168-2686-B
golgeli	200-2795-B
golgelik	26-684-B,26-759-S,200-2815-B
gomlek	19-2327-B,168-2539-B,170-790-B,174-1938-B
gomleği	174-1952-S
gomme	23-2375-B,24-1173-B,83-304-B
gommek	24-1905-B,65-3612-B
gomut	195-1818-B
gonder	180-2668-B
gonderme	56-2087-B,69-3373-B,197-1032-B
gonderme ulak haber	56-2051-S
gondermek	39-554-B,80-3099-B,154-1953-B,155-2217-B,155-2253-S,155-3254-S,158-2430-S,170-469-B,197-1158-B
gondermek teslim etmek	39-573-B
gondol	87-403-B
gonenc	209-1716-B
gonencli	132-1776-B
gonul	22-947-B,93-161-B
gonullu	81-2576-B,96-2844-S,116-24-S,126-3015-S,207-1194-B,207-1266-B,211-2191-B
gonulluluk	153-223-B,211-2210-B
gonulsuz	155-3123-B,203-632-B
gonulsuzluk	101-3124-B
gonye	197-3292-B
gore	25-108-B,79-2606-B,99-3600-B,203-1392-B
goreli	155-1802-B
goren	46-2472-S
gorenek	128-2219-B,196-1984-B
goreneksel	40-3926-B
gorev	9-962-B,29-2750-B,35-954-B,61-2220-B,64-1584-B,64-1720-B,107-13-B,121-2428-B,129-825-B,129-2148-B,133-1452-B,139-251-B,141-3256-B,168-157-B,172-2339-B,181-2928-B,191-874-B,213-935-B
gorev gumruk vergisi	61-2232-B
gorev toren merasim	82-3123-B
gorevini bilen	61-2185-B
gorevlendirmek	35-972-B,64-1598-B,127-272-B,191-886-B
gorevsel	83-33-B
gorgu	70-172-B,70-269-S
gorgusuzluk	102-1061-B
goril	87-1363-B
gorkem	116-316-B
gorkem ihtişam	116-245-B
gorkemli	116-336-B,147-3227-B,148-2135-B,179-641-B,187-2126-B
gorme	9-2433-S,40-105-S,155-3290-B,165-444-S,171-1682-B,203-1813-S,206-2640-B
gorme aşağılama	55-3471-S
gorme kibir	40-148-S
gorme manzara	171-1695-B
gormek	16-2606-S,16-2637-B,52-238-S,55-291-B,70-191-B,86-316-S,114-833-B,171-1716-B,191-1008-B,206-888-B,212-1960-B
gormek anlamak	135-2958-B
gormek sezmek bekleme	8-837-S
gormez	171-1838-B
gormuş gecirmiş	176-2404-B
gorulebilir	206-3013-B
gorulmemiş	46-203-B,126-1657-B,172-1486-B,184-1167-B
gorunen	8-2846-S
gorunme	4-707-B,117-74-B
gorunmek	8-3166-B,74-2476-B,114-846-B,166-2829-B,170-2583-B
gorunmek meydana cıkmak	8-3184-B
gorunmek perili	92-1064-S
gorunmez	105-2891-B
goruntu	8-2910-B,98-783-B,137-1922-S
gorunum	206-901-B
gorunur	128-2181-B,206-2585-B
gorunurde	171-1730-B
gorunurluk	206-2604-B
gorunuş	8-3237-B,11-918-B,11-953-S,36-1562-B,38-166-B,42-1587-B,66-1380-B,71-74-S,71-2605-B,76-390-B,114-862-B,120-1682-B,131-849-B,131-1238-S,137-1888-B,137-2109-B,147-1935-B,167-529-B,170-2599-B
gorunuşlu	90-1984-S
gorunuşte	130-3314-B,131-1318-B,131-1374-B,166-2861-B,188-1189-B
goruş	11-937-B,55-380-B,67-2082-B,71-2043-B,193-2718-B,206-917-B,206-2654-B
goruş gebe kalma	37-435-S
goruş gorunuş	11-953-B
goruş ihtimal	147-2008-S
goruş noktası	181-1500-B
goruşme	39-3644-B,55-3378-B,104-2910-B,105-743-B,126-554-B,190-1896-B
goruşmek	37-3550-S,37-3580-B,55-3358-B,105-764-B,119-1054-B,166-2704-B,190-1912-B
gosteren	49-2033-B,50-1208-B,50-1714-B,101-2129-B
gosterge	101-1878-B,101-2184-B
gosteri	21-1342-S,31-2155-B,50-1230-B,132-609-B,132-2830-B,136-941-B,170-2616-B
gosterim	127-1118-S
gosteriş	4-1883-S,8-3260-B,11-981-B,19-188-B,21-2981-B,23-1250-B,47-1344-B,56-2759-B,71-113-B,76-409-B,78-2103-B,87-3142-B,90-395-B,130-3372-B,144-2481-B,170-2630-B,170-2839-B,204-1682-B,205-306-B,212-0-B
gosteriş tantana	141-1207-B
gosterişci	144-2537-B,204-751-B
gosterişli	77-1966-B,77-2064-B,84-234-B,88-204-B,106-2076-B,174-1185-B,177-2646-B,179-1929-B
