brow	23-651-B
charge	29-2625-B,29-2637-B,29-2651-B,29-2674-B,29-2690-B,29-2704-B,29-2720-B,29-2733-B,29-2750-B,29-2764-B,29-2777-B,29-2791-B,29-2804-B,29-2818-B,29-2831-B,29-2844-B,29-2858-B,29-2873-B,29-2887-B,29-2905-B,29-2922-B,29-2938-B,29-2955-B,29-2966-B,29-2980-B,29-3003-B,29-3016-B,29-3028-B,29-3045-B
charioteer	29-3059-B
charisma	29-3079-B
charitable	29-3094-B,29-3113-B,29-3136-B,29-3156-B,29-3178-B,29-3202-B
charity	29-3223-B,29-3246-B,29-3263-B,29-3278-B
charm	29-3302-B,29-3328-B,29-3346-B,29-3359-B,29-3371-B,29-3386-B
chart	29-3403-B,30-0-B
charter	30-15-B,30-29-B,30-45-B,30-63-B
chary	30-78-B,30-93-B,30-110-B,30-127-B
chase	30-142-B,30-151-B,30-175-B,30-189-B,30-205-B,30-220-B,30-236-B,30-247-B
chaser	30-259-B
chasm	30-272-B,30-286-B,30-299-B
chassis	30-320-B
chaste	30-338-B,30-353-B,30-374-B,30-389-B,30-404-B,30-415-B
chastity	30-427-B,30-442-B,30-457-B
chat	30-474-B,30-488-B,30-500-B
chatter	30-518-B,30-536-B
chatty	30-560-B
chauffeur	30-577-B
cheap	30-595-B,30-610-B,30-622-B
cheapen	30-633-B,30-651-B
cheat	30-670-B,30-684-B,30-699-B,30-714-B,30-735-B,30-760-B,30-771-B,30-789-B,30-807-B
check	30-818-B,30-829-B,30-845-B,30-857-B,30-868-B,30-885-B,30-899-B,30-919-B,30-938-B,30-952-B
cheek	30-963-B,30-975-B,30-987-B
cheeky	30-1006-B
cheep	30-1020-B,30-1039-B
cheer	30-1056-B,30-1076-B,30-1099-B,30-1111-B,30-1126-B,30-1149-B,30-1170-B,30-1184-B,30-1204-B
cheerful	30-1218-B,30-1232-B,30-1249-B
cheering	30-1263-B
cheerless	30-1280-B,30-1299-B
cheery	30-1318-B,30-1333-B,30-1348-B
cheese	30-1360-B
cheesecloth	30-1374-B
chef	30-1395-B,30-1407-B,30-1425-B
chemical	30-1435-B
chemise	30-1453-B,30-1472-B
chemist	30-1488-B
chemistry	30-1505-B
cherry	30-1521-B
chest	30-1534-B,30-1549-B,30-1563-B
chestnut	30-1591-B
chew	30-1608-B,30-1634-B,30-1649-B
chic	30-1665-B,30-1676-B
chick	30-1691-B,30-1704-B,30-1717-B,30-1729-B
chicken	30-1742-B,30-1757-B,30-1771-B
chickpea	30-1786-B
chickweed	30-1801-B
