shepherd	140-2433-B,140-2452-B
steppe	150-518-B,150-532-B,150-545-B,150-558-B
sterile	150-570-B
sterility	150-584-B,150-599-B,150-614-B
stern	150-630-B,150-643-B
stew	150-656-B
stewardship	150-669-B,150-689-B
stick	150-709-B,150-720-B,150-734-B,150-747-B,150-761-B,150-778-B,150-793-B,150-815-B,150-827-B,150-841-B,150-854-B,150-867-B,150-880-B,150-893-B,150-905-B,150-917-B,150-928-B,150-941-B,150-952-B,150-964-B,150-978-B,150-993-B,150-1009-B,150-1025-B,150-1038-B,150-1052-B,150-1067-B,150-1079-B,150-1092-B,150-1104-B,150-1116-B,150-1128-B,150-1141-B,150-1154-B,150-1167-B
sticker	150-1178-B,150-1196-B
stiff	150-1214-B,150-1226-B
stiffen	150-1239-B
stiffness	150-1258-B,150-1276-B
still	150-1295-B,150-1310-B,150-1321-B,150-1333-B,150-1347-B,150-1358-B
stimulate	150-1371-B,150-1392-B,150-1412-B,150-1429-B,150-1450-B,150-1470-B,150-1491-B,150-1509-B
stimulation	150-1529-B,150-1548-B,150-1566-B,150-1584-B,150-1601-B
sting	150-1620-B,150-1636-B,150-1649-B,150-1662-B
stinginess	150-1672-B,150-1689-B,150-1708-B,150-1726-B
stingy	150-1746-B,150-1761-B,150-1776-B,150-1794-B,150-1809-B
stink	150-1826-B,150-1838-B
stint	150-1851-B
stipulation	150-1862-B,150-1887-B
stir	150-1910-B,150-1921-B,150-1934-B,150-1947-B,150-1961-B,150-1974-B
stirring	150-1985-B,150-2003-B
stitch	150-2022-B,150-2038-B,150-2052-B,150-2066-B,150-2081-B,150-2096-B,150-2109-B,150-2122-B,150-2136-B
stock	150-2150-B,150-2164-B,150-2176-B,150-2188-B,150-2202-B,150-2214-B,150-2225-B,150-2236-B,150-2247-B
stockpile	150-2258-B
stomach	150-2278-B,150-2295-B,150-2311-B,150-2327-B,150-2341-B,150-2358-B
stone	150-2374-B,150-2385-B,150-2396-B,150-2409-B,150-2422-B,150-2434-B
stooge	150-2445-B,150-2460-B
stool	150-2473-B,150-2484-B,150-2497-B,150-2510-B
stoop	150-2521-B
stop	150-2536-B,150-2547-B,150-2557-B,150-2570-B,150-2581-B,150-2593-B,150-2604-B,150-2616-B,150-2629-B,150-2645-B,150-2656-B,150-2666-B,150-2682-B,150-2693-B,150-2706-B,150-2715-B,150-2725-B,150-2736-B,150-2747-B,150-2761-B
stoppage	150-2775-B,150-2792-B
stopper	150-2807-B,150-2822-B,151-0-B,151-14-B
stopping	151-27-B
store	151-47-B,151-63-B,151-77-B,151-89-B,151-100-B,151-111-B,151-122-B
storehouse	151-133-B,151-152-B,151-169-B,151-185-B,151-201-B,151-217-B
storey	151-233-B,151-248-B
story	151-263-B,151-277-B,151-291-B,151-303-B
storyteller	151-315-B,151-335-B,151-355-B,151-373-B
stoutness	151-391-B,151-406-B,151-422-B
stow	151-438-B
straddle	151-450-B,151-466-B
straight	151-484-B,151-499-B,151-513-B
straighten	151-527-B,151-543-B,151-563-B,151-584-B
straightforward	151-603-B,151-625-B,151-649-B
straightforwardness	151-671-B
straightness	151-698-B,151-717-B
strain	151-737-B,151-750-B,151-764-B,151-777-B,151-793-B
strainer	151-805-B,151-821-B,151-839-B,151-856-B,151-874-B,151-890-B,151-905-B,151-923-B
straining	151-940-B,151-960-B,151-979-B
strand	151-996-B,151-1012-B,151-1025-B
strange	151-1036-B,151-1050-B,151-1064-B,151-1079-B,151-1092-B
strangeness	151-1106-B,151-1124-B
strangle	151-1143-B,151-1160-B
stratagem	151-1181-B,151-1200-B
stratum	151-1219-B,151-1238-B,151-1255-B,151-1272-B,151-1285-B,151-1298-B
stream	151-1313-B,151-1330-B,151-1343-B,151-1357-B,151-1372-B
strength	151-1386-B,151-1400-B,151-1414-B,151-1428-B,151-1442-B,151-1457-B,151-1471-B,151-1486-B,151-1502-B,151-1520-B,151-1537-B,151-1552-B,151-1567-B,151-1582-B,151-1599-B,151-1616-B,151-1630-B,151-1644-B,151-1660-B,151-1676-B,151-1691-B,151-1705-B,151-1719-B,151-1734-B,151-1751-B,151-1769-B,151-1787-B
strengthen	151-1805-B,151-1826-B,151-1845-B,151-1868-B
strengthening	151-1887-B,151-1906-B,151-1927-B
stress	151-1951-B,151-1969-B,151-1986-B,151-2000-B,151-2020-B,151-2032-B,151-2046-B,151-2061-B,151-2077-B,151-2090-B
stretch	151-2104-B,151-2120-B,151-2134-B,151-2148-B,151-2161-B,151-2178-B,151-2194-B
stretcher	151-2208-B,151-2226-B,151-2244-B,151-2262-B,151-2277-B
strew	151-2295-B,151-2310-B
strict	151-2322-B,151-2335-B
strictness	151-2352-B,151-2369-B
stride	151-2388-B,151-2402-B
strife	151-2417-B,151-2431-B,151-2445-B,151-2458-B,151-2471-B,151-2484-B,151-2497-B,151-2512-B
strike	151-2525-B,151-2540-B,151-2555-B,151-2568-B,151-2582-B,151-2597-B,151-2612-B,151-2624-B,151-2637-B,151-2652-B,151-2665-B,151-2679-B,151-2692-B,151-2705-B,151-2718-B,151-2730-B,151-2743-B,151-2758-B,151-2774-B,151-2789-B,151-2802-B,151-2816-B,151-2829-B,151-2844-B
striking	151-2860-B,151-2876-B,151-2891-B,151-2908-B
string	151-2926-B,151-2939-B,151-2953-B,151-2967-B,151-2983-B,151-3000-B,151-3016-B,151-3031-B,151-3044-B,151-3057-B,151-3071-B,151-3084-B,151-3096-B
strip	151-3107-B,152-0-B,152-15-B,152-28-B,152-39-B,152-51-B
stripe	152-63-B,152-80-B,152-98-B,152-113-B,152-128-B
stripping	152-145-B,152-161-B,152-176-B
strive	152-192-B,152-208-B
striving	152-223-B,152-242-B,152-257-B,152-272-B
stroke	152-289-B,152-312-B,152-326-B,152-340-B,152-353-B,152-368-B,152-383-B,152-397-B,152-409-B,152-422-B
stroll	152-435-B,152-450-B,152-464-B,152-477-B,152-494-B,152-511-B
strong	152-526-B,152-539-B,152-552-B,152-566-B,152-579-B,152-593-B,152-607-B,152-620-B,152-632-B,152-644-B,152-659-B,152-676-B,152-689-B,152-703-B,152-718-B,152-731-B,152-749-B
strongly	152-760-B
strontium	152-779-B
