smack	230-2357-B,230-2374-B,230-2393-B,230-2414-B,230-2428-B,230-2446-B,230-2463-B,230-2474-B,230-2487-B,230-2502-B
small	230-2517-B,230-2537-B,230-2550-B,230-2562-B,230-2574-B,230-2590-B,230-2601-B,230-2613-B,230-2634-B,230-2654-B,230-2670-B,230-2682-B,230-2700-B,230-2713-B
smaller	230-2730-B
smallest	230-2747-B
smallholder	230-2763-B
smallness	230-2790-B,230-2814-B,230-2832-B
smallpox	230-2850-B,230-2868-B
smarmy	230-2883-B
smart	230-2901-B,230-2914-B,230-2926-B,230-2938-B,230-2956-B,230-2967-B,230-2983-B,230-2999-B,230-3010-B,230-3023-B,231-0-B,231-15-B,231-27-B,231-39-B,231-55-B,231-71-B,231-89-B,231-102-B,231-116-B,231-138-B,231-154-B,231-169-B,231-182-B
smartness	231-197-B,231-215-B,231-232-B,231-252-B,231-270-B,231-290-B
smash	231-311-B,231-324-B,231-337-B,231-352-B,231-369-B,231-384-B,231-398-B,231-411-B,231-426-B,231-444-B,231-459-B,231-474-B
smashing	231-496-B,231-517-B,231-538-B
smear	231-557-B,231-572-B,231-586-B,231-600-B,231-612-B,231-629-B,231-643-B,231-658-B
smell	231-673-B,231-686-B,231-703-B,231-716-B,231-730-B,231-746-B,231-757-B,231-769-B,231-781-B,231-796-B,231-811-B,231-826-B,231-839-B
smelt	231-852-B,231-864-B
smew	231-879-B
smile	231-891-B,231-902-B,231-918-B,231-936-B
smirk	231-953-B,231-964-B
smite	231-980-B,231-993-B,231-1007-B,231-1022-B,231-1036-B,231-1047-B
smith	231-1060-B
smithy	231-1073-B
smog	231-1085-B
smoke	231-1099-B,231-1115-B,231-1129-B,231-1140-B,231-1155-B,231-1168-B,231-1183-B
smokeless	231-1199-B
smoker	231-1217-B,231-1233-B,231-1256-B,231-1275-B,231-1295-B
smoking	231-1315-B,231-1335-B,231-1352-B,231-1373-B,231-1390-B
smoky	231-1412-B,231-1428-B
smooth	231-1443-B,231-1460-B,231-1474-B,231-1492-B,231-1510-B,231-1526-B,231-1541-B,231-1556-B,231-1570-B,231-1586-B,231-1601-B,231-1617-B,231-1631-B,231-1649-B,231-1667-B,231-1683-B,231-1699-B,231-1713-B,231-1729-B,231-1746-B,231-1763-B
smoothly	231-1779-B,231-1794-B
smoothness	231-1813-B,231-1831-B
smother	231-1851-B,231-1871-B,231-1888-B
smoulder	231-1905-B,231-1921-B
smudge	231-1937-B,231-1950-B,231-1965-B
smudgy	231-1981-B
smug	231-1998-B
smuggle	231-2016-B
smuggler	231-2038-B
smuggling	231-2062-B
smugness	231-2085-B
smut	231-2108-B,231-2119-B,231-2129-B,231-2141-B,231-2152-B
smutty	231-2165-B,231-2181-B,231-2196-B
snack	231-2212-B,231-2224-B
snag	231-2240-B,231-2255-B,231-2265-B,231-2276-B,231-2288-B
snail	231-2300-B
snake	231-2312-B
snaky	231-2327-B
snap	231-2349-B,231-2364-B,231-2377-B,231-2391-B,231-2406-B,231-2421-B,231-2433-B,231-2448-B,231-2463-B,231-2476-B,231-2491-B,231-2506-B,231-2522-B,231-2536-B,231-2549-B,231-2565-B,231-2580-B,231-2595-B,231-2610-B,231-2623-B,231-2636-B,231-2652-B
snappish	231-2668-B,231-2686-B
snappy	231-2705-B
snapshot	231-2721-B
snare	231-2741-B,231-2752-B,231-2764-B,231-2777-B
snarl	231-2789-B,231-2804-B,231-2819-B,231-2834-B,231-2847-B,231-2861-B,231-2875-B,231-2888-B
snatch	231-2903-B,231-2918-B,231-2935-B,231-2950-B,231-2964-B,231-2982-B,231-2997-B,231-3012-B
sneak	231-3027-B,231-3041-B,231-3056-B,231-3073-B,232-0-B
sneaky	232-13-B
sneer	232-26-B,232-37-B,232-53-B,232-69-B,232-87-B,232-101-B,232-115-B,232-131-B,232-150-B
sneeze	232-166-B,232-182-B
snicker	232-198-B,232-217-B,232-234-B,232-250-B
sniff	232-268-B,232-282-B,232-298-B,232-315-B,232-329-B,232-346-B,232-360-B,232-378-B
snigger	232-392-B
snip	232-408-B,232-421-B
snipe	232-436-B
snippet	232-449-B,232-465-B
snivel	232-481-B,232-497-B,232-516-B
snob	232-530-B,232-543-B
snobbery	232-554-B
snooper	232-572-B
snooty	232-589-B
snooze	232-604-B,232-621-B
snore	232-637-B,232-652-B
snort	232-667-B,232-683-B,232-701-B,232-715-B,232-729-B,232-745-B,232-760-B,232-775-B
snot	232-789-B
snotty	232-801-B
snout	232-819-B,232-831-B,232-845-B,232-857-B
snow	232-869-B,232-880-B,232-894-B,232-908-B,232-923-B,232-933-B
snow white	232-947-B,232-969-B
snowball	232-994-B
snowdrift	232-1013-B,232-1029-B,232-1045-B,232-1065-B
snowdrop	232-1085-B
snowfall	232-1104-B,232-1123-B,232-1141-B
snowflake	232-1155-B
snowman	232-1177-B,232-1194-B
snowmobile	232-1211-B
snowplough	232-1237-B
snowstorm	232-1257-B,232-1278-B,232-1297-B,232-1316-B
snowy	232-1333-B
snub	232-1347-B,232-1359-B
snuff	232-1372-B,232-1384-B,232-1400-B,232-1414-B,232-1427-B
snuffbox	232-1442-B
snuffle	232-1463-B,232-1482-B,232-1497-B,232-1513-B
snug	232-1529-B,232-1542-B,232-1554-B,232-1571-B
snuggle	232-1587-B
so	232-1605-B,232-1614-B,232-1622-B,232-1633-B,232-1641-B,232-1650-B,232-1658-B,232-1667-B
soak	232-1676-B,232-1688-B,232-1699-B
soaking	232-1712-B,232-1731-B,232-1751-B,232-1771-B
soap	232-1793-B,232-1806-B
soapy	232-1822-B
soar	232-1840-B,232-1855-B,232-1870-B
sob	232-1884-B
sober	232-1899-B,232-1915-B,232-1933-B,232-1946-B,232-1962-B,232-1975-B
sobriety	232-1987-B,232-2010-B,232-2026-B
sobriquet	232-2044-B
soccer	232-2064-B
sociability	232-2082-B
sociable	232-2108-B,232-2129-B
social	232-2153-B,232-2172-B
socialism	232-2197-B
socialist	232-2218-B,232-2239-B
socialistic	232-2263-B
socialization	232-2289-B
socialize	232-2317-B
societal	232-2340-B
sociological	232-2367-B
sociology	232-2393-B,232-2414-B
sock	232-2441-B,232-2453-B
socket	232-2464-B,232-2477-B,232-2491-B,232-2505-B,232-2518-B,232-2536-B
sod	232-2551-B,232-2561-B
soda	232-2571-B
sodden	232-2582-B,232-2601-B
sodium	232-2615-B
sofa	232-2630-B
soft	232-2641-B,232-2653-B,232-2665-B,232-2680-B,232-2693-B,232-2706-B,232-2717-B,232-2730-B,232-2742-B,232-2753-B,232-2765-B,232-2778-B,232-2801-B,232-2814-B,232-2826-B,232-2838-B,232-2851-B
soft pedal	232-2862-B
soft spoken	232-2883-B
soften	232-2910-B,232-2929-B,232-2944-B,232-2962-B,232-2977-B,232-2992-B,232-3011-B,232-3030-B,232-3046-B,232-3065-B
softly	232-3082-B
softness	232-3096-B
software	232-3113-B,232-3130-B
softwood	232-3150-B,232-3167-B,232-3185-B
soggy	233-0-B,233-18-B,233-33-B,233-53-B,233-67-B
soil	233-81-B,233-92-B,233-107-B,233-116-B,233-129-B,233-143-B,233-154-B,233-170-B,233-181-B,233-194-B
sojourn	233-207-B,233-225-B
solace	233-241-B
solarium	233-258-B
solder	233-278-B,233-291-B,233-305-B
soldier	233-320-B
soldierly	233-337-B,233-361-B
sole	233-380-B,233-391-B,233-403-B,233-419-B,233-435-B,233-446-B,233-459-B,233-477-B
solely	233-495-B,233-513-B,233-525-B
solemn	233-543-B,233-558-B,233-577-B,233-592-B,233-606-B
solemnity	233-625-B
solicit	233-648-B,233-661-B,233-682-B
solicitous	233-699-B,233-718-B
solicitude	233-737-B,233-764-B
solid	233-781-B,233-796-B,233-811-B,233-822-B,233-844-B,233-863-B,233-881-B,233-894-B,233-907-B,233-924-B,233-936-B,233-949-B
solidarity	233-961-B,233-986-B
solidify	233-1009-B
solidity	233-1030-B,233-1048-B,233-1064-B,233-1086-B
solidness	233-1109-B
soliloquy	233-1126-B
solitaire	233-1148-B
solitary	233-1168-B,233-1183-B,233-1207-B,233-1223-B
solitude	233-1244-B
solo	233-1266-B,233-1277-B
soloist	233-1293-B,233-1309-B
solstice	233-1330-B
solubility	233-1355-B
soluble	233-1377-B,233-1395-B
solution	233-1413-B
solve	233-1431-B,233-1447-B,233-1460-B,233-1478-B
solvency	233-1494-B,233-1513-B,233-1532-B,233-1556-B
solvent	233-1579-B,233-1594-B
solving	233-1616-B,233-1638-B,233-1657-B
somatic	233-1679-B
sombre	233-1699-B,233-1714-B
some	233-1727-B,233-1738-B,233-1750-B,233-1761-B,233-1771-B,233-1784-B,233-1797-B,233-1807-B
somebody	233-1820-B,233-1835-B
somehow	233-1849-B,233-1866-B
someone	233-1885-B
something	233-1898-B
sometime	233-1914-B
sometimes	233-1930-B,233-1947-B,233-1967-B,233-1985-B,233-2005-B
somewhat	233-2025-B,233-2041-B,233-2057-B
somewhere	233-2074-B,233-2093-B,233-2112-B
somnolence	233-2131-B
somnolent	233-2154-B
son	233-2172-B
son in law	233-2182-B
sonata	233-2199-B
song	233-2215-B,233-2229-B,233-2240-B,233-2251-B
songbird	233-2262-B
songbook	233-2282-B
songster	233-2302-B,233-2319-B
sonny	233-2339-B
sonority	233-2350-B
sonorous	233-2371-B,233-2390-B,233-2409-B
soon	233-2428-B,233-2442-B,233-2458-B,233-2469-B,233-2483-B
sooner	233-2493-B,233-2509-B
soot	233-2527-B,233-2539-B,233-2550-B
soothe	233-2560-B,233-2578-B,233-2597-B,233-2615-B,233-2635-B
soothing	233-2655-B,233-2679-B,233-2703-B
soothsayer	233-2724-B,233-2745-B
sooty	233-2766-B
sop	233-2780-B,233-2791-B,233-2806-B
sophistication	233-2819-B
soporific	233-2842-B,233-2860-B
soppy	233-2874-B
soprano	233-2892-B
sorcerer	233-2909-B,233-2927-B,233-2944-B,233-2959-B
sorceress	233-2976-B
sorcery	233-2992-B,233-3008-B
sordid	233-3024-B,233-3040-B,233-3059-B,233-3072-B
