unworkable	317-622-B,317-650-B
wave	326-609-B,326-625-B,326-640-B,326-652-B,326-667-B,326-683-B,326-695-B,326-704-B,326-714-B,326-730-B,326-741-B
waveform	326-753-B,326-779-B,326-802-B,326-822-B
wavefront	326-843-B,326-865-B,326-888-B
waveguide	326-909-B
wavelength	326-927-B,326-951-B,326-976-B
wavelet	326-1001-B,326-1025-B
waver	326-1040-B,326-1058-B,326-1075-B
wavy	326-1091-B,326-1111-B
wax	326-1124-B,326-1145-B,326-1155-B
waxen	326-1165-B
waxwork	326-1179-B
