armful	24-1118-B
bake	33-1608-B,33-1621-B,33-1632-B,33-1645-B
bakehouse	33-1661-B,33-1678-B
baker	33-1698-B
bakery	33-1710-B,33-1724-B
baking	33-1741-B,33-1755-B
balance	33-1771-B,33-1786-B,33-1806-B,33-1822-B,33-1838-B,33-1864-B,33-1879-B,33-1897-B,33-1913-B,33-1935-B,33-1954-B,33-1973-B,33-1987-B,33-2005-B,33-2028-B,33-2050-B,33-2069-B,33-2082-B
balancer	33-2097-B,33-2122-B
balancing	33-2148-B,33-2171-B,33-2192-B,33-2219-B
balcony	33-2244-B,33-2259-B,33-2276-B,33-2293-B
bald	33-2311-B,33-2325-B,33-2338-B,33-2351-B,33-2361-B,33-2373-B
baldly	33-2385-B,33-2408-B,33-2423-B,33-2439-B
bale	33-2457-B,33-2467-B,33-2479-B,33-2493-B,33-2507-B,33-2517-B,33-2528-B,33-2549-B,33-2559-B
baleful	33-2580-B,33-2594-B,33-2610-B,33-2623-B
balk	33-2639-B,33-2651-B,33-2662-B,33-2675-B,33-2691-B,33-2702-B,33-2716-B,33-2729-B,33-2743-B,33-2758-B,33-2774-B,33-2787-B,33-2804-B,33-2818-B
ball	33-2831-B,33-2840-B,33-2851-B,33-2862-B,33-2874-B,33-2887-B,33-2898-B,33-2911-B,33-2922-B
ballad	33-2932-B
ballast	33-2946-B,33-2961-B,33-2978-B,33-2992-B,33-3009-B,33-3025-B,33-3044-B,33-3065-B,33-3087-B,34-0-B,34-38-B,34-55-B,34-68-B
ballerina	34-86-B
ballet	34-105-B,34-118-B
ballistic	34-133-B
balloon	34-155-B,34-169-B,34-188-B,34-202-B,34-222-B
ballot	34-244-B,34-256-B,34-272-B,34-287-B
ballpoint	34-312-B
balm	34-337-B,34-349-B,34-365-B
balmy	34-376-B,34-391-B,34-401-B,34-413-B,34-427-B,34-441-B,34-455-B
balustrade	34-472-B,34-494-B,34-514-B,34-532-B
bamboo	34-552-B,34-566-B
bamboozle	34-581-B,34-601-B
ban	34-619-B,34-631-B,34-640-B,34-656-B,34-669-B,34-685-B,34-697-B,34-711-B
banal	34-723-B,34-737-B,34-750-B
banana	34-769-B,34-783-B
band	34-805-B,34-816-B,34-831-B,34-845-B,34-856-B,34-867-B,34-878-B,34-899-B,34-911-B,34-922-B,34-933-B,34-944-B,34-958-B,34-973-B,34-988-B,34-999-B,34-1014-B,34-1025-B,34-1040-B,34-1052-B,34-1063-B,34-1075-B,34-1088-B,34-1101-B,34-1112-B,34-1125-B,34-1135-B,34-1147-B,34-1158-B
bandage	34-1169-B,34-1184-B,34-1198-B,34-1215-B
bandit	34-1229-B,34-1243-B
bandoleer	34-1260-B,34-1281-B
bandwidth	34-1299-B,34-1325-B,34-1346-B,34-1371-B,34-1414-B,34-1454-B,34-1479-B
bandy	34-1507-B,34-1524-B,34-1539-B,34-1556-B,34-1572-B
bane	34-1586-B,34-1600-B,34-1617-B,34-1630-B,34-1643-B
baneful	34-1659-B,34-1675-B,34-1691-B
bang	34-1710-B,34-1726-B,34-1746-B,34-1759-B,34-1771-B,34-1783-B,34-1795-B,34-1809-B,34-1821-B,34-1833-B,34-1847-B,34-1859-B
banish	34-1881-B,34-1900-B,34-1915-B,34-1931-B
banishment	34-1949-B,34-1971-B
banjo	34-1996-B,34-2010-B
bank	34-2032-B,34-2043-B,34-2054-B,34-2069-B,34-2085-B,34-2099-B,34-2114-B,34-2128-B,34-2139-B,34-2149-B,34-2160-B,34-2176-B,34-2187-B,34-2202-B,34-2213-B,34-2224-B,34-2233-B,34-2244-B,34-2255-B,34-2266-B,34-2278-B,34-2308-B,34-2321-B,34-2333-B
banker	34-2344-B
banking	34-2358-B,34-2376-B,34-2395-B,34-2416-B,34-2437-B,34-2474-B
banknote	34-2496-B,34-2514-B
bankrupt	34-2534-B,34-2551-B
bankruptcy	34-2573-B,34-2592-B,34-2611-B,34-2632-B
banner	34-2654-B,34-2667-B,34-2681-B,34-2700-B,34-2726-B,34-2749-B
banquet	34-2764-B,34-2779-B
banter	34-2793-B,34-2813-B,34-2832-B
baptism	34-2845-B
baptistery	34-2863-B,34-2886-B,34-2908-B
baptistry	34-2931-B
bar	34-2953-B,34-2961-B,34-2970-B,34-2979-B,34-2997-B,34-3012-B,34-3023-B,34-3033-B,34-3043-B,34-3061-B,34-3073-B,34-3084-B,34-3095-B,34-3104-B,34-3122-B,34-3134-B,34-3144-B,34-3154-B,34-3164-B,35-0-B,35-14-B,35-32-B,35-52-B,35-73-B,35-87-B,35-98-B,35-111-B,35-122-B
barb	35-132-B,35-144-B,35-155-B,35-168-B,35-183-B,35-194-B,35-214-B,35-237-B,35-260-B
barbarian	35-271-B,35-288-B,35-307-B,35-328-B
barbaric	35-346-B,35-365-B
barbarous	35-385-B,35-405-B,35-422-B,35-440-B
barbecue	35-456-B
barbell	35-474-B
barber	35-497-B
barberry	35-512-B,35-533-B,35-550-B
barbershop	35-571-B
bare	35-594-B,35-603-B,35-613-B,35-627-B,35-642-B,35-655-B,35-669-B,35-684-B,35-696-B,35-706-B
bareback	35-722-B,35-741-B
barefoot	35-760-B,35-773-B,35-790-B
barely	35-808-B,35-821-B,35-834-B,35-855-B,35-870-B,35-886-B,35-898-B,35-909-B
bargain	35-923-B,35-940-B,35-959-B,35-980-B,35-996-B,35-1017-B
bargaining	35-1033-B
barge	35-1055-B,35-1067-B,35-1083-B,35-1099-B,35-1120-B
barium	35-1132-B
bark	35-1145-B,35-1162-B,35-1175-B,35-1185-B,35-1202-B,35-1214-B,35-1226-B,35-1239-B,35-1261-B
barley	35-1277-B,35-1290-B
barmaid	35-1304-B
barman	35-1323-B,35-1345-B
barn	35-1368-B,35-1380-B,35-1390-B,35-1401-B,35-1413-B
barometer	35-1427-B
barometric	35-1447-B
baron	35-1471-B,35-1483-B
baroness	35-1495-B
baroque	35-1513-B,35-1527-B,35-1542-B,35-1558-B,35-1579-B,35-1596-B
barrack	35-1613-B,35-1628-B
barrage	35-1646-B,35-1661-B,35-1675-B,35-1692-B
barrel	35-1707-B,35-1754-B,35-1799-B,35-1812-B,35-1826-B,35-1838-B,35-1851-B,35-1865-B,35-1877-B
barren	35-1891-B,35-1902-B,35-1915-B,35-1931-B,35-1948-B,35-1963-B
barricade	35-1975-B,35-1994-B,35-2018-B
barrier	35-2036-B,35-2053-B,35-2067-B,35-2083-B,35-2100-B,35-2116-B,35-2133-B,35-2150-B,35-2166-B
barrister	35-2182-B,35-2200-B,35-2219-B,35-2239-B
barrow	35-2266-B,35-2284-B,35-2299-B,35-2311-B,35-2325-B,35-2342-B,35-2356-B
barter	35-2377-B,35-2396-B,35-2412-B
basalt	35-2427-B
basaltic	35-2441-B
base	35-2459-B,35-2469-B,35-2493-B,35-2503-B,35-2514-B,35-2527-B,35-2536-B,35-2552-B,35-2563-B,35-2577-B,35-2589-B,35-2603-B,35-2617-B,35-2629-B,35-2642-B,35-2655-B,35-2670-B,35-2684-B,35-2695-B,35-2707-B,35-2722-B,35-2740-B,35-2761-B,35-2776-B,35-2792-B,35-2811-B
baseball	35-2832-B
baseless	35-2849-B,35-2872-B
baseline	35-2891-B,35-2913-B,35-2935-B,35-2959-B,35-2986-B
basement	35-3009-B,35-3025-B,35-3042-B,35-3061-B,35-3083-B,35-3100-B
baseness	35-3116-B,35-3133-B
bashful	35-3150-B,35-3168-B
basic	35-3185-B,35-3197-B,35-3209-B,35-3221-B,35-3234-B,35-3252-B,36-0-B,36-17-B,36-36-B,36-49-B,36-62-B,36-76-B,36-90-B,36-104-B,36-119-B,36-133-B,36-156-B,36-171-B,36-186-B
basically	36-202-B,36-221-B,36-239-B
basilica	36-258-B,36-276-B,36-294-B
basin	36-312-B,36-324-B,36-344-B,36-356-B,36-372-B,36-383-B,36-395-B,36-410-B,36-426-B,36-449-B,36-462-B
basis	36-475-B,36-486-B,36-499-B,36-512-B,36-527-B,36-540-B,36-554-B
