bottone	25-3108-B,99-1372-B
bove	127-3251-B
bovini	28-2320-B,99-339-B
bovino	23-1859-B
bozza	54-469-B,143-2168-B
bozzello	22-422-B
bozzetto	172-3083-B
bozzolo	33-2352-B
braccialetto	23-2361-B,215-2918-B
bracciata	12-2925-B
braccio	12-2799-B,213-3313-B
bracciolo	12-3242-B
bracciuolo	12-3260-B
bracconiere	137-1609-B
brache	199-2307-B
brachiale	23-2399-B
brachicefalo	23-2418-B
braciola	31-200-B
bradipo	174-1767-B
brama	55-2229-B,107-2909-B
bramano	23-2551-B
bramare	42-2488-B,43-226-B,48-3083-B,106-816-B,216-960-B
braminico	23-2567-B
branca	23-2773-B
brancicare	68-983-B
branco	85-878-B,128-181-B,161-488-B
branda	82-368-B
brandello	170-2602-B,191-1256-B
brandire	211-1359-B
brando	189-2450-B
brandy	23-2886-B,33-3092-B
brano	21-1680-B,65-2572-B,134-2823-B
brasatura	176-1233-B
brasiliano	24-77-B
bratteale	23-2467-B
bravo	2-741-B,23-3019-B,23-3105-B,77-2965-B,120-2278-B,142-3133-B
bravura	111-106-B
breccia	24-98-B,75-2056-B,113-473-B,160-1676-B
brecciame	113-487-B
bretelle	188-3413-B
bretone	24-1214-B
breve	24-1570-B,37-208-B,105-445-B,170-902-B,170-1621-S,176-3388-S,186-2767-B
brevettato	130-2167-B,143-4046-B
brevetto	130-2090-B
brezza	7-171-B,24-1185-B
bricco	98-2436-B
bricconata	99-1087-B,149-1510-B,159-1114-B
briccone	149-1429-B
bricconeria	99-1106-B,149-1531-B,159-1133-B,159-1255-B
briciola	43-2845-B,164-2072-B
briciolo	115-2789-B,164-2087-B
brida	31-3151-B
bridge	24-1510-B
briga	27-2463-B,199-1757-B
brigantaggio	24-1661-B
brigante	17-2787-B
brigantino	24-1613-B
brigata	24-1629-B
briglia	24-1555-B,153-324-B
brillante	24-1698-B,24-1889-B,107-3160-B,148-418-B,152-1726-B,169-2441-B,169-2548-B
brillantina	79-867-B
brillare	77-260-B,77-775-B,77-1024-B,169-2239-B
brillo	97-1567-B,180-1409-B
brina	74-980-B,86-331-B,158-1405-B
brinata	86-347-B
brindello	170-2618-B
brindisi	196-243-B
brio	105-978-B,178-2932-B,179-2340-B,208-270-B
brionia	24-3349-B
brioso	85-2364-B,105-1059-B,178-3087-B
briscola	199-2700-B
britannico	1-425-B
brivido	147-2533-B,169-3161-B,169-3274-B,171-16-B,194-2283-B,195-2107-B
brizzolato	79-2298-B,80-390-B
brocca	62-3170-B,96-2167-B,97-3061-B,135-2090-B,139-1206-B
broccato	24-2404-B
brodo	24-2794-B,177-1346-B
brodo ristretto	183-475-B
brodoso	211-1331-B
bromico	24-2561-B
bromo	24-2613-B
bromuro	24-2576-B
bronchiale	24-2627-B
bronco	24-2648-B
brontolare	25-1251-B,80-2117-B,118-927-B,118-1792-B,161-87-B
brontolio	80-2134-B,161-105-B
brontolone	80-961-B,80-1392-B,80-1599-B,80-2082-B,177-1515-B
bronzare	24-2682-B
bronzo	24-2698-B
brossura	24-2421-B,129-588-S,129-610-S
brucare	24-3026-B,120-2196-B
bruciacchiare	164-1284-B,172-886-B
bruciare	25-1817-B,129-2112-B,164-1305-B,172-906-B
bruciato	25-2164-B
bruciatore	25-1987-B
bruciatura	25-1831-B
bruco	28-1991-B,80-1781-B
brughiera	84-1999-B,116-2355-B,116-2420-B
brulicare	43-279-B,189-592-B,191-2790-B
brullo	118-2758-B
brumale	24-3113-B
bruna	24-3129-B
brunire	25-2071-B,138-208-B,174-29-B
brunitoio	25-2123-B
bruno	24-3014-B
