spese	41-3104-B,64-2220-B,64-2321-B,64-2335-B,126-2888-B,178-1857-B
spesso	73-3378-B,124-1353-B,182-2282-B,193-2384-B
spessore	193-2566-B
spettacolare	178-682-B
spettacolo	132-2345-B,170-2344-B,171-1497-B,178-619-B
spettacoloso	178-707-B
spettare	11-1541-B,133-1996-B
spettatore	20-432-B,106-1363-B,124-2860-B,178-732-B,208-1891-B
spettegolare	191-1452-B
spettrale	76-2399-B,178-753-B,179-1007-B
spettro	11-788-B,133-3387-B,133-3421-B,168-742-B,178-789-B,178-964-B,178-3002-B,179-993-B,215-1775-B
spettrografo	178-831-B
spettrogramma	178-805-B
spettrometria	178-883-B
spettrometro	178-857-B
spettroscopia	178-937-B
spettroscopio	178-910-B
speziale	11-342-B
spezie	178-2250-B,178-2263-B
spezzare	24-425-B,42-3087-B,175-133-B
spezzarsi	175-1444-B
spezzatino	148-1861-B
spezzato	24-2470-B
spezzettatrice	170-2653-B
spezzone	73-1387-B
spia	180-90-B
spiacevole	122-3285-B,123-630-B,204-1081-B
spiacevolezza	204-1132-B
spiaggia	19-850-S,19-868-B,165-861-B,165-948-B,170-862-B
spianare	70-1594-B,71-1184-B,103-334-B,136-607-B,175-1045-B
spiare	144-3645-B,175-1947-B,180-99-B
spiccante	184-2987-B
spiccare	49-164-B,137-397-B
spiccato	32-981-B,52-3462-B,110-1615-B,185-330-B
spicchio	33-262-B
spicciolare	137-412-B
spiedo	178-3207-B
spiegabile	3-2300-B,64-3100-B,64-3268-B
spiegamento	48-785-B
spiegare	57-2791-B,59-2678-B,64-3083-B,64-3310-B,148-2887-B,179-2232-B,203-595-B
spiegarsi	64-1145-B,201-3321-B,204-2632-B
spiegazione	39-1486-B,57-2859-B,64-3197-B,64-3378-B
spietato	84-1760-B,112-2913-B,135-2431-B,154-403-B,161-1787-B,203-273-B
spiga	55-2320-B,178-2409-B
spigliato	56-23-B
spigolo	56-1354-B
spigoloso	180-929-B
spilla	24-2712-B,119-2859-B,135-669-B
spillatrice	181-946-B
spillo	135-680-B
spillone	24-2726-B
spilorcio	120-2659-B,173-500-B
spina	78-133-S,131-2300-B,135-691-B,137-540-B,141-2722-B,178-2724-B,191-293-B,194-688-B
spina dorsale	16-3346-B,16-3432-B,178-2736-B
spinaci	178-2581-B
spinacio	178-2597-B
spinale	178-2629-B
spinare	22-3193-B
spinetta	178-2771-B
spingere	89-2159-B,91-3923-B,117-2114-B,137-2915-B,141-657-B,146-1053-B
spingersi	97-1776-B
spino	194-700-B
spinoso	141-2836-B,194-712-B
spinotto	131-2310-B,135-701-B
spinta	89-2953-B,146-1067-B,170-2080-B,184-2036-B,194-3340-B
spinterogeno	53-116-B
spionaggio	61-2012-B,180-161-B
spioncino	131-2169-B,180-143-B
spione	180-110-B
spira	34-249-B,200-2810-B,213-1155-B,213-2930-B
spiraglio	10-3562-B,173-995-B,207-2218-B
spirale	34-260-B,84-3055-B,178-2891-B
spirare	24-1199-B,64-2947-B,93-2944-B
spirito	76-2385-B,98-0-B,178-3017-B,214-1038-B
spiritosaggine	214-783-B,214-1618-B
spiritoso	178-3143-B,214-1674-B
splendente	24-1794-B,24-1964-B,56-3249-B,152-1764-B,169-2529-B
splendere	19-1011-B,169-2374-B
splendido	23-3074-B,45-2163-B,53-1074-B,56-3270-B,78-2085-B,108-2454-B,148-504-B,156-1228-B,179-0-B,179-43-B,185-1724-B,187-1935-B,214-2647-B
splendore	24-1868-B,107-3126-B,148-399-B,152-1705-B,169-690-B,169-2390-B
splenico	179-145-B
splenite	179-162-B
spocchia	83-2436-B
spogliare	159-326-B,201-3249-B
spogliarellista	184-3254-B
spogliarello	184-3300-B
spogliarsi	52-1923-B
spogliatoio	54-1892-B
spoglie	179-670-B
spoglio	17-1906-B,18-1136-B,118-2810-B,122-1136-B
spoiler	179-728-B
spola	22-2150-B,179-1053-B
spoletta	75-358-B
spolverare	55-1624-B
sponda	17-3209-B,56-1367-B,158-2858-B,170-877-B,171-966-B
spondilite	179-830-B
sponsor	179-955-B
sponsorizzare	179-971-B
spontaneo	209-2355-B
spopolamento	48-862-B
spopolato	48-840-B
spora	179-1097-B
