konanie	6-628-B,6-1107-B,69-1677-B
konar	27-2754-B,130-1918-B,253-1867-B
konarik	224-3107-B
konat	6-362-B,35-2368-B,44-2148-B,58-830-B,69-592-B,167-1989-B,177-1764-B,189-3085-B
konatel	9-508-B,83-1554-B,249-2383-B
koncatina	82-3707-B,140-3207-B
koncek	246-3084-B
koncentracia	47-414-B
koncentrator	47-520-B
koncentrovany	47-360-B
koncentrovat	47-283-B
koncepcia	15-459-B,47-603-B,47-691-B
koncept	70-1330-B,143-2319-B
koncern	47-787-B
koncert	47-977-B,185-459-B
koncertny	47-993-B
koncesia	129-2423-B,129-2532-B
koncetracia	47-442-B
konciar	235-2877-B
koncipovat	70-1344-B
koncit	46-903-B,76-1880-B,88-2147-B,193-1966-B,230-1389-B,243-578-B
koncity	210-3100-B
koncovka	76-2252-B,243-763-B
koncovy	88-604-B,243-384-B
kondenzacia	47-2332-B
kondenzat	47-2310-B
kondenzator	34-910-B,47-2459-B
kondenzovany	47-2415-B
kondenzovat	47-2358-B
kondicia	251-1654-B
konecne	18-277-B,18-391-B,18-410-B,60-2797-B,79-3110-B,88-877-B,88-2535-B,126-3225-B,127-409-B,243-537-B
konecnik	185-3720-B
konecnikovy	185-3397-B
konecnost	88-2553-B
konecny	59-209-B,60-2326-B,60-2705-B,79-3074-B,88-619-B,88-2464-B,127-0-B,243-402-B,254-1110-B,260-1577-B
konektor	48-3523-B,121-583-B
konfederacia	47-3710-B
konfekcia	184-155-B
konfekcny	157-1621-B
konferencia	44-264-B,47-3826-B,209-54-B
konferencier	45-3725-B,75-1873-B,77-2954-B,110-2782-B
konferovat	45-3746-B,47-3775-B,145-914-B
konfiguracia	48-422-B
konfirmacia	48-769-B
konfirmovat	48-619-B
konfiskacia	48-987-B,206-2748-B
konflikt	41-309-B,48-1074-B
konfrontacia	48-1642-B
konfrontovat	48-1569-B
konglomerat	48-2234-B
kongres	48-2450-B
koniaren	226-851-B
konicek	19-2742-B,83-1867-B,109-1715-B
koniec	31-1916-B,42-751-B,47-1508-B,76-1869-B,76-2268-B,81-1694-B,88-1989-B,88-2133-B,180-2818-B,239-2605-B,243-784-B,243-892-B,243-1033-B,246-3073-B
konina	110-2450-B
konjunkcia	48-2861-B
konjunktura	27-1471-B
konkretne	47-1892-B,240-1849-B
konkretny	47-1872-B,83-1691-B,165-984-B,240-1809-B
konkurencia	45-4155-B
konkurencny	45-4131-B,46-48-B
konkurent	46-74-B,196-1763-B
konkurovat	45-3766-B,196-1779-B
konope	108-1248-B
konsignacia	49-1281-B
konsky	110-2345-B
konsolidovat	49-1755-B
konspekt	49-2000-B
konstanta	49-2303-B
konstantny	49-2323-B
konstatovat	227-2680-B
konstitucia	49-2797-B
konstrukcia	49-3374-B,63-1017-B,94-2814-B,94-3047-B,201-2776-B,216-345-B,232-3281-B
konstrukter	49-3594-B,63-1352-B,63-1670-B
konstruktivny	49-3542-B
konstruovat	49-3268-B,63-1037-B,210-2417-B
kontakt	50-14-B
kontaktovat	50-30-B
kontejner	50-198-B
kontext	50-1447-B
kontingent	50-1766-B,210-2811-B
kontinualny	50-2228-B
konto	5-71-B
kontrabas	50-2451-B
kontrakcia	50-2541-B
kontrarevolucia	52-3543-B
kontrast	50-3143-B,188-3135-B
kontrola	38-3273-B,50-3582-B,65-2326-B,101-1221-B,117-2740-B,176-3629-B,194-2411-B,204-1431-B,262-2203-B,264-3413-B
kontrolny	50-3599-B
kontrolny sucet	39-240-B
kontrolor	50-3863-B
