dokoncenie	5-2266-B,46-1178-B,49-4205-B,88-811-B,88-2015-B,88-2442-B,243-739-B
dokonceny	46-784-B,46-1065-B
dokoncit	4-3218-B,5-2129-B,29-2721-B,35-2589-B,46-805-B,49-4162-B,88-772-B,88-836-B,88-2034-B,88-2345-B,99-1010-B,243-557-B
dokoncovat	46-825-B
dokoran	9-238-B
doktor	69-1008-B,69-1237-B,140-313-B,140-690-B,140-1038-B
doktrina	69-1265-B
dokument	59-3537-B,69-1316-B,118-547-B,164-1488-B,185-2463-B,202-2515-B,265-2950-B,273-1901-B
dokumentacia	26-1851-B,69-1431-B
dokumentarny	69-1405-B
dokumentovat	69-1334-B
dokumenty	69-3183-B,69-3215-B,164-1503-B
dolapit	149-2288-B
dolar	30-1089-B,69-1886-B,218-2508-B
dole	24-150-B,70-570-B,70-1113-B,70-1182-B,255-1888-B,255-2871-B
dolet	182-1145-B
doletiet	183-2170-B
dolezitost	5-0-B,49-355-B,113-3607-B,118-3359-B,135-595-B,145-3052-B,145-3360-B,214-2197-B,214-2426-B,268-2643-B
dolezity	24-2605-B,49-909-B,79-229-B,96-784-B,102-775-B,102-2696-B,102-3448-B,113-3675-B,135-1973-B,138-2934-B,145-3296-B,153-3354-B,188-2860-B,208-2830-B,214-2265-B,234-1625-B,265-101-B,265-201-S,268-2927-B
dolina	260-3157-B,261-147-B
dolka	148-1772-B
dolnik	121-559-B,125-656-B
dolny	27-2667-B,133-1941-B,133-2222-B,151-3531-B,255-1899-B
dolovat	64-3623-B,143-919-B
dolozit	234-2057-B
dolozka	41-919-B
dolu	23-3083-B,70-580-B
dom	30-1893-B,36-2841-B,109-2789-B,110-3355-B,143-2065-B,267-396-S
domaci	3-275-B,69-2060-B,69-2259-B,84-1629-B,109-2809-B,109-2914-B,109-2981-B,109-2998-B,109-3032-B,114-2644-B,115-3283-B,115-3790-B,117-224-B,119-156-B,126-1422-B,126-1459-B,150-1574-B,192-362-B
domaci majster	106-49-B
domacky	69-2077-B,109-3049-B
domacnost	79-576-B,109-2822-B,110-3365-B,111-115-B
domased	109-2932-B
domcek	131-1764-B,132-1247-B,170-2007-B
domena	69-1950-B
dominancia	69-2299-B
dominanta	69-2320-B
dominantny	69-2339-B,173-3240-B
dominium	69-2578-B
dominovat	69-2406-B
domnely	10-1902-B,17-2717-B,48-2680-B,113-161-B,113-438-B,179-673-B,179-3105-B,191-1794-B,206-1725-B,236-3619-B,236-3784-B,236-3807-B
domnienka	17-2757-B,23-2330-B,236-3739-B,237-1137-B
domnievat	244-2090-B
domnievat sa	17-2625-B,23-2433-B,49-826-B,236-3524-B,244-2107-B
domobrana	142-2812-B
domorodec	132-26-B,150-1540-B,201-958-B,251-601-B
domorody	3-254-B,150-1557-B
domov	109-2798-B
domovnik	121-1635-B
domyselny	41-3031-B,56-3063-B,59-3672-B,116-2868-B
domyslavost	16-1208-B,47-130-B,219-3155-B,261-1069-B
domyslavy	30-2874-B,43-503-B,47-175-B,219-1852-B,260-3054-B
donasac	219-2680-B,241-3513-B
donasat	219-3061-B
doniest	86-3066-B,183-2186-B
donutenie	43-1059-B,49-2996-B,93-150-B
donuteny	155-3291-B
donutit	43-985-B,45-3194-B,93-167-B,113-2419-B,155-3227-B
doobeda	9-37-B,114-2340-B,142-1395-B,142-1417-B,172-2294-B
dookola	16-169-B,197-2594-B
dopad	113-1583-B,114-3823-B
dopadat	107-520-B,130-2434-B,232-1547-B
dopadnut	15-138-B,34-2229-B,36-2199-B,44-2129-B,44-2163-B,84-977-B,100-2896-B,152-1649-B,232-1118-B,272-1713-B
dopisat	88-2066-B
dopisovanie	52-1118-B
dopisovat si	52-1003-B
dopisovatel	52-1250-B,190-3019-B
dopit	88-2052-B
doplatok	237-197-B
doplnenie	46-718-B,46-1201-B,186-3043-B,190-2255-B,236-2348-B,248-414-B
