張りつける はりつける	7-6421-B,214-515-B,289-798-B
張り上げる はりあげる	240-1111-B
張り付ける はりつける	7-6461-B,214-555-B,289-838-B
張り出し はりだし	200-5543-B,209-5786-B,226-234-B
張り出す はりだす	232-4568-B
張り合い はりあい	57-2323-B,256-5491-B
張り合う はりあう	256-5272-B
張り抜き はりぬき	212-701-B
張り札 はりふだ	200-5578-B,226-269-B
張り番 はりばん	178-2590-B,329-4278-B
張り紙 はりがみ	226-301-B
張り裂ける はりさける	35-4034-B,284-4728-B
張り詰める はりつめる	290-5857-B,291-6041-B
張る はる	7-6501-B,214-595-B,237-3635-B,277-75-B,285-2549-B,289-878-B,290-5898-B,291-6083-B,308-1921-B
張力 ちょうりょく	304-4837-B
張形 はりかた	84-3966-B
張形 はりがた	84-3994-B
張本人 ちょうほんにん	208-877-B,217-5648-B,256-1934-B
強い つよい	189-1576-B,226-3373-B,226-5519-B,292-3299-B
強いる しいる	53-3105-B,57-870-B,123-3106-B
強か したたか	140-4421-B,269-4342-B
強がり つよがり	32-1291-B
強がる つよがる	32-1322-B
強さ つよさ	226-5248-B,291-4871-B
強ばる こわばる	289-2083-B
強み つよみ	124-6323-B
強める つよめる	100-454-B,291-5093-B
強制 きょうせい	53-3321-B,58-5346-B,101-5972-B,202-4132-B
強制執行 きょうせいしっこう	109-724-B
強制的 きょうせいてき	58-5611-B
強剛 きょうごう	45-6055-B,325-1764-B
強力 きょうりょく	226-5547-B,292-3325-B
強勢 きょうせい	136-2519-B,180-5478-B,284-2835-B
強化 きょうか	161-5631-B,247-2529-B,280-4090-B,291-5129-B
強含み つよふくみ	291-5162-B
強固 きょうこ	119-5409-B,265-4812-B,286-1766-B,291-4899-B
強圧 きょうあつ	229-3790-B
強壮 きょうそう	257-2267-B,292-3360-B,293-3668-B
強大 きょうだい	189-1602-B,226-5584-B
強奪 ごうだつ	111-5571-B,223-3938-B
強奪物 ごうだつぶつ	223-3968-B
強奪者 ごうだつしゃ	223-4142-B,257-1657-B
強姦 ごうかん	240-3844-B,326-1830-B
