私たち わたくしたち	321-6031-B,330-1894-B
私たち わたしたち	321-6065-B,330-1928-B
私供 わたしども	321-6096-B,330-1959-B
私党 しとう	25-1832-B,113-737-B
私共 わたくしども	330-1987-B
私娼窟 ししょうくつ	37-2031-B
私心 ししん	267-626-B
私情 しじょう	266-5270-B
私意 しい	267-657-B
私慾 しよく	266-5306-B
私有地 しゆうち	79-2039-B,105-3491-B
私欲 しよく	266-5339-B
私的 してき	218-2274-B,231-805-B
私自身 わたくしじしん	196-698-B
私製 しせい	231-832-B
私設 しせつ	231-859-B
私語 しご	332-2391-B
私通 しつう	6-6655-B
私達 わたくしたち	321-6124-B,330-2018-B
私達 わたしたち	321-6155-B,330-2049-B
秋 あき	23-3007-B,114-1441-B
秋季 しゅうき	23-3027-B,114-1459-B
秋日 しゅうじつ	23-3056-B
秋期 しゅうき	23-3088-B
秋波 しゅうは	333-4525-B
秋霜烈日 しゅうそうれつじつ	141-2436-B,269-4779-B
科 か	80-195-B,265-3917-B
科する かする	157-5605-B
科人 とがにん	70-323-B
科学 かがく	263-2872-B
科学技術 かがくぎじゅつ	303-4294-B
科学的 かがくてき	263-2941-B
科学者 かがくしゃ	263-3015-B
科白 かはく	283-2802-B
科白 せりふ	283-2828-B
科目 かもく	68-926-B,72-3687-B
秒読み びょうよみ	67-3309-B
秘か ひそか	231-886-B,265-1925-B,299-558-B
秘かに ひそかに	265-2959-B
秘める ひめる	145-0-B
秘め事 ひめごと	265-1951-B
秘伝 ひでん	196-1629-B,265-1983-B
秘儀 ひぎ	256-5117-B
秘匿 ひとく	59-34-B,145-237-B
秘宝 ひほう	313-3093-B
秘密 ひみつ	265-1204-B,265-2009-B
秘決 ひけつ	168-1931-B
秘結 ひけつ	62-7014-B
秘蔵 ひぞう	48-1766-B,231-1484-B,313-3121-B
秘薬 ひやく	200-3927-B
秘訣 ひけつ	168-1954-B,265-2035-B
租借 そしゃく	172-5353-B
租界 そかい	59-3014-B,269-1956-B
租税 そぜい	303-1393-B
秩序 ちつじょ	188-3243-B,207-641-B,247-225-B,301-2855-B
称 しょう	40-3053-B,169-4631-B
称える たたえる	111-5164-B
称する しょうする	117-348-B,237-2099-B
称号 しょうごう	78-1837-B,196-2855-B,309-759-B
称呼 しょうこ	16-571-B,81-1868-B
称揚 しょうよう	6-2722-B,227-1381-B
称美 しょうび	227-1413-B
称賛 しょうさん	6-2758-B,55-3328-B,227-1442-B
移す うつす	157-3099-B,249-1030-B,312-2436-B
移り うつり	46-1932-B,312-4638-B
移り変わる うつりかわる	46-1958-B
移り気 うつりぎ	41-5982-B,118-138-B,127-2572-B,155-882-B,332-1038-B
移り行く うつりゆく	46-2002-B,271-3060-B
移ろう うつろう	46-2040-B,113-1614-B
移住 いじゅう	151-5199-B,189-1773-B
移住民 いじゅうみん	99-5533-B,151-5011-B
移住者 いじゅうしゃ	99-5573-B,151-5052-B
移入 いにゅう	152-6409-B,189-1805-B
移出 いしゅつ	110-5902-B
移動 いどう	189-1837-B,194-5517-B,249-768-B
移植 いしょく	152-4258-B
移植性 いしょくせい	225-2319-B
移民 いみん	151-5093-B,151-5233-B
移行性 いこうせい	312-4698-B
移譲 いじょう	20-3362-B,312-2464-B
移転 いてん	79-2134-B,194-5754-B,312-2495-B
移送 いそう	249-795-B,312-2523-B,312-6911-B
移項 いこう	313-194-B
移駐 いちゅう	194-5780-B
稀 まれ	240-5155-B,266-2319-B
稀世 きせい	240-5173-B
稀代 きだい	240-5197-B,317-5753-B
稀少 きしょう	240-5221-B,262-3813-B
稀薄 きはく	172-4233-B,282-3832-B,330-2363-B
稀釈 きしゃく	84-5386-B
程 ほど	78-1869-B,111-3966-B,175-4292-B
程々 ほどほど	192-1127-B
程なく ほどなく	281-2411-B
程合い ほどあい	192-1331-B
程好い ほどよい	192-1037-B,233-5277-B
程度 ていど	12-4022-B,78-1889-B,134-5846-B,287-874-B
程無く ほどなく	281-2441-B
程程 ほどほど	192-1160-B
程良く ほどよく	192-1193-B,233-5521-B,256-695-B
程近い ほどちかい	197-2850-B
稍 やや	213-1158-B,281-990-B
税収 ぜいしゅう	254-3694-B
税率 ぜいりつ	302-4817-B
税金 ぜいきん	95-3247-B,303-1241-B
稔り みのり	70-3584-B
稚児 ちご	24-1520-B,48-3569-B
稚拙 ちせつ	48-4329-B
稚気 ちき	48-4357-B,196-2459-B
稠密 ちゅうみつ	79-5054-B,225-1405-B,306-1670-B
稠密 ちょうみつ	79-5085-B,225-1439-B,306-1701-B
種 しゅ	168-4574-B,283-389-B,323-5396-B
種 たね	168-4592-B,185-413-B,220-5037-B,237-5931-B,265-2061-B,282-859-B,294-276-B,305-4991-B,309-4624-B,314-1997-B,323-5417-B
種々 くさぐさ	323-5438-B
種々 しゅじゅ	323-5468-B
種付け たねつけ	184-6034-B
種別 しゅべつ	20-6281-B,50-5343-B
種取り たねとり	36-0-B
種変わり たねがわり	149-2839-B
種子 しゅし	220-5716-B
種族 しゅぞく	114-4508-B,239-2588-B,283-410-B,314-1153-B
種火 たねび	99-3315-B,282-3479-B
種痘 しゅとう	159-2063-B,322-4791-B
種皮 しゅひ	305-1867-B
種目 しゅもく	106-4153-B
種種 くさぐさ	323-5498-B
種種 しゅじゅ	323-5528-B
種類 しゅるい	44-818-B,168-4610-B,316-4324-B,323-5558-B
種馬 たねうま	286-5199-B
