enact	100-3870-B
exhumation	109-3769-B
exigent	109-3802-B
exile	109-3832-B,109-3860-B,109-3897-B,109-3931-B,109-3962-B,109-3987-B,109-4012-B,109-4040-B
exist	109-4065-B,109-4105-B,109-4127-B,109-4149-B,109-4189-B,109-4217-B
existence	109-4245-B,109-4277-B,109-4309-B,109-4341-B,109-4373-B,109-4405-B,109-4437-B,109-4469-B,109-4495-B,109-4524-B,109-4556-B,109-4588-B
existentialism	109-4617-B
existentialist	109-4669-B
existing	109-4730-B,109-4758-B,109-4786-B,109-4814-B,109-4845-B,109-4876-B
exit	109-4907-B,109-4928-B,109-4961-B,109-4985-B,109-5012-B,109-5036-B,109-5060-B,109-5087-B,109-5117-B
exogamy	109-5153-B,109-5183-B
exoneration	109-5228-B,109-5262-B
exorbitant	109-5296-B,109-5329-B,109-5389-B,109-5449-B
exorcise	109-5479-B,109-5525-B,109-5574-B,109-5608-B
exorcism	109-5657-B,109-5676-B,109-5695-B,109-5732-B,109-5769-B,109-5809-B,109-5852-B,109-5880-B,109-5914-B,109-5948-B
exorcist	109-5979-B
exotic	109-6007-B
exoticism	109-6033-B,109-6065-B,109-6115-B
expand	109-6168-B,109-6200-B,109-6244-B,109-6276-B,109-6308-B,109-6346-B,109-6378-B
expandable	109-6410-B,109-6458-B
expanding	109-6509-B
expanse	109-6559-B
expansion	109-6592-B,109-6624-B,109-6659-B,109-6694-B,109-6729-B,109-6761-B,109-6793-B,110-0-B,110-35-B,110-70-B,110-111-B,110-140-B,110-172-B,110-207-B
expect	110-242-B,110-283-B,110-327-B,110-368-B,110-415-B
expectantly	110-438-B
expectation	110-496-B,110-527-B,110-558-B,110-586-B,110-626-B,110-666-B,110-697-B,110-734-B,110-768-B,110-799-B,110-830-B,110-861-B,110-892-B
expectoration	110-926-B,110-962-B
expedience	110-998-B,110-1028-B
expediency	110-1067-B,110-1118-B,110-1163-B,110-1214-B,110-1247-B
expedient	110-1280-B,110-1312-B,110-1350-B,110-1385-B,110-1417-B
expedite	110-1446-B,110-1501-B,110-1535-B
expedition	110-1569-B,110-1608-B,110-1644-B,110-1674-B,110-1710-B,110-1743-B
expeditiously	110-1776-B
expel	110-1833-B,110-1870-B
expenditure	110-1904-B,110-1938-B
expense	110-1972-B,110-1999-B,110-2029-B,110-2059-B,110-2077-B
expensive	110-2104-B,110-2136-B
experience	110-2168-B,110-2192-B,110-2225-B,110-2252-B,110-2276-B,110-2309-B,110-2342-B,110-2375-B,110-2408-B,110-2438-B,110-2468-B,110-2504-B,110-2531-B,110-2558-B,110-2591-B,110-2624-B,110-2657-B
experiential	110-2687-B
experiment	110-2731-B,110-2764-B,110-2797-B
experimental	110-2827-B,110-2871-B
experimenter	110-2912-B
expert	110-2956-B,110-2982-B,110-3011-B,110-3040-B,110-3081-B,110-3107-B,110-3136-B,110-3168-B,110-3197-B,110-3226-B,110-3252-B,110-3290-B,110-3319-B,110-3345-B,110-3374-B,110-3409-B,110-3444-B
expertise	110-3473-B,110-3523-B,110-3579-B,110-3626-B
expiation	110-3658-B
expiration	110-3702-B,110-3729-B,110-3765-B
expire	110-3795-B,110-3821-B,110-3859-B,110-3888-B,110-3917-B,110-3946-B,110-3975-B,110-4019-B,110-4054-B
expiry	110-4098-B
explain	110-4127-B,110-4172-B,110-4214-B,110-4253-B,110-4295-B,110-4343-B,110-4367-B
explanation	110-4397-B,110-4431-B,110-4465-B,110-4499-B,110-4533-B,110-4567-B,110-4604-B,110-4647-B,110-4681-B,110-4715-B,110-4743-B,110-4777-B,110-4814-B,110-4851-B
explanatory	266-4791-S
explicate	110-4885-B
explication	110-4917-B
explicit	110-4951-B,110-4988-B
exploit	110-5025-B,110-5052-B,110-5085-B,110-5112-B
exploitation	110-5151-B,110-5189-B,110-5227-B,110-5262-B,110-5294-B,110-5326-B
exploration	110-5361-B,110-5395-B,110-5429-B,110-5463-B
explorer	110-5494-B,110-5525-B
explosion	110-5562-B,110-5600-B,110-5635-B,110-5667-B,110-5699-B,110-5728-B
explosive	110-5757-B,110-5798-B
expo	110-5830-B
exponent	110-5848-B
export	110-5876-B,110-5902-B,110-5931-B
expose	110-5960-B,110-6001-B,110-6027-B,110-6053-B,110-6079-B,110-6120-B
exposition	110-6158-B,110-6182-B,110-6206-B,110-6230-B,110-6272-B,110-6305-B
expostulation	110-6341-B
exposure	110-6377-B,110-6408-B,110-6433-B,110-6464-B,110-6492-B,110-6520-B,110-6554-B,110-6597-B,110-6628-B,110-6656-B,110-6687-B,110-6715-B,110-6743-B
expound	111-0-B
express	111-51-B,111-78-B,111-105-B,111-144-B,111-186-B,111-222-B,111-252-B,111-288-B,111-321-B,111-363-B,111-408-B,111-435-B,111-465-B
expression	111-495-B,111-534-B,111-573-B,111-606-B,111-627-B,111-666-B,111-696-B,111-729-B,111-762-B,111-801-B,111-837-B,111-873-B,111-906-B,111-948-B,111-993-B,111-1029-B,111-1065-B,111-1104-B,111-1140-B,111-1176-B,111-1212-B,111-1245-B
expressionless	111-1281-B
expressiveness	111-1330-B
expressly	111-1382-B,111-1414-B
expressway	111-1446-B
expropriation	111-1485-B
expulsion	111-1524-B,111-1556-B,111-1588-B,111-1620-B,111-1649-B
expunge	111-1678-B,111-1720-B
exquisite	111-1759-B,111-1791-B,111-1823-B,111-1852-B,111-1884-B,111-1919-B,111-1951-B
extant	111-1983-B,111-2012-B
extemporary	111-2041-B
extend	111-2087-B,111-2113-B,111-2139-B,111-2162-B,111-2191-B,111-2220-B,111-2246-B,111-2287-B,111-2319-B,111-2351-B,111-2380-B,111-2409-B,111-2453-B,111-2485-B,111-2517-B,111-2552-B
extensible	111-2584-B
extension	111-2635-B,111-2670-B,111-2702-B,111-2737-B,111-2772-B,111-2807-B,111-2839-B,111-2871-B,111-2903-B,111-2938-B,111-2982-B,111-3026-B,111-3061-B,111-3114-B
extensive	111-3146-B,111-3187-B,111-3219-B,111-3260-B,111-3301-B,111-3333-B,111-3365-B,111-3403-B,111-3435-B,111-3485-B,111-3517-B,111-3567-B,111-3599-B,111-3631-B,111-3669-B
extensively	111-3701-B,111-3732-B
extent	111-3769-B,111-3795-B,111-3827-B,111-3853-B,111-3879-B,111-3905-B,111-3934-B,111-3966-B,111-3986-B
exterior	111-4012-B,111-4040-B,111-4068-B,111-4099-B,111-4133-B,111-4155-B,111-4186-B,111-4217-B,111-4248-B,111-4279-B,111-4310-B
extermination	111-4335-B,111-4371-B,111-4407-B,111-4449-B,111-4485-B,111-4518-B,111-4554-B,111-4590-B,111-4623-B
external	111-4656-B,111-4687-B,111-4712-B,111-4743-B,111-4783-B,111-4814-B,111-4842-B
extinct	111-4873-B
extinction	111-4918-B,111-4951-B,111-4981-B,111-5017-B,111-5053-B,111-5086-B
extinguish	111-5119-B
extol	111-5164-B,111-5195-B,111-5235-B,111-5275-B,111-5315-B,111-5355-B,111-5395-B,111-5426-B
extort	111-5493-B,111-5510-B
extortion	111-5551-B,111-5571-B,111-5603-B,111-5638-B,111-5673-B,111-5705-B,111-5743-B
extra	111-5772-B,111-5794-B,111-5825-B,111-5850-B,111-5869-B,111-5891-B,111-5919-B
extract	111-5947-B,111-5965-B,111-6004-B,111-6028-B,111-6064-B,111-6100-B,111-6133-B,111-6157-B,111-6187-B,111-6217-B,111-6253-B,111-6289-B
extraction	111-6319-B,111-6355-B,111-6394-B
extracurricular	111-6427-B,111-6471-B
extradite	111-6506-B,111-6547-B
extradition	111-6585-B,111-6628-B
extramural	111-6668-B
extraneous	111-6701-B,111-6734-B
extraordinary	111-6767-B,112-0-B,112-54-B,112-99-B,112-153-B,112-213-B,112-258-B,112-312-B,112-354-B,112-402-B,112-462-B,112-498-B,112-537-B,112-579-B,112-615-B,112-657-B,112-693-B,112-735-B,112-768-B,112-801-B,112-834-B,112-870-B,112-909-B,112-960-B,112-993-B,112-1029-B,112-1071-B
extravagance	112-1110-B,112-1133-B,112-1165-B,112-1200-B,112-1232-B,112-1267-B,112-1302-B,112-1337-B,112-1369-B,112-1404-B
extravagant	112-1442-B,112-1476-B,112-1510-B,112-1559-B,112-1608-B
extravaganza	112-1669-B
extreme	112-1725-B,112-1749-B,112-1779-B,112-1812-B,112-1854-B,112-1896-B,112-1929-B,112-1974-B,112-2019-B,112-2055-B
extremely	112-2082-B,112-2102-B,112-2149-B,112-2202-B,112-2222-B,112-2254-B,112-2286-B,112-2318-B,112-2368-B,112-2400-B,112-2447-B,112-2494-B,112-2529-B,112-2564-B,112-2593-B,112-2637-B,112-2681-B,112-2713-B,112-2751-B
extremity	112-2783-B,112-2812-B,112-2844-B,112-2870-B,112-2899-B,112-2934-B,112-2966-B
extricate	112-2995-B,112-3036-B
extroversion	112-3074-B,112-3109-B
exuberance	112-3153-B
exude	112-3189-B,112-3229-B,112-3263-B,112-3297-B
exultant	112-3334-B,112-3377-B
exultation	112-3420-B,112-3453-B
eye	112-3489-B,112-3500-B,112-3514-B,112-3537-B,112-3557-B
