instructive	161-596-B,161-642-B
known	331-3889-S,331-3928-S,331-3997-S,331-4027-S,331-4057-S,331-4093-S,331-4132-S,331-4159-S,331-4189-S,331-4222-S,331-4270-S
knuckle	169-4281-B,169-4317-B
koala	169-4338-B
kowtow	169-4354-B
lab	169-4383-B
label	169-4394-B,169-4410-B,169-4429-B,169-4460-B,169-4491-B,169-4522-B,169-4547-B,169-4566-B,169-4609-B,169-4631-B,169-4653-B,169-4678-B,169-4709-B
labor	169-4740-B,169-4771-B,169-4790-B,169-4818-B,169-4846-B,169-4865-B,169-4893-B,169-4921-B,169-4961-B,169-4986-B,169-5014-B,169-5039-B,169-5067-B,169-5092-B,169-5117-B
laboratory	169-5142-B,169-5160-B,169-5178-B,169-5208-B,169-5250-B,169-5295-B,169-5337-B
laboriously	169-5370-B,169-5395-B
labour	169-5420-B,169-5452-B
labourer	169-5475-B,169-5503-B,170-0-B
labyrinth	170-28-B,170-54-B,170-116-B,170-163-B,170-198-B
laceration	170-227-B
lacework	170-263-B
lack	170-306-B,170-330-B,170-360-B,170-378-B,170-399-B,170-426-B
lacquer	170-453-B,170-474-B,170-498-B
lacquerware	170-522-B,170-559-B
lacrosse	170-593-B
