ordinal	207-1205-B
penalty	215-5444-B,215-5468-B,215-5495-B,215-5516-B,215-5546-B,215-5576-B,215-5597-B
penance	215-5627-B,215-5657-B,215-5690-B
pence	215-5741-B
pencil	215-5757-B
pendant	215-5786-B,215-5810-B
pending	215-5849-B,215-5876-B,215-5912-B,215-5942-B,215-5969-B,215-6002-B,215-6029-B,215-6065-B
pendulum	215-6101-B,216-0-B
penetrate	216-28-B,216-66-B,216-107-B,216-142-B,216-177-B,216-218-B,216-250-B,216-291-B,216-326-B,216-364-B,216-405-B,216-446-B,216-487-B,216-522-B,216-557-B,216-589-B
penetrating	216-633-B
penetration	216-679-B,216-716-B,216-750-B,216-784-B,216-818-B,216-852-B,216-883-B,216-917-B,216-948-B,216-985-B,216-1022-B,216-1056-B,216-1090-B
penguin	216-1127-B
penicillin	216-1148-B
peninsula	216-1175-B
penis	216-1207-B,216-1223-B,216-1239-B,216-1258-B,216-1277-B,216-1290-B,216-1306-B,216-1328-B,216-1356-B,216-1384-B,216-1412-B
penitence	216-1434-B,216-1463-B,216-1492-B
penitentiary	216-1524-B
penmanship	216-1565-B,216-1598-B,216-1631-B
pennant	216-1664-B,216-1703-B,216-1724-B,216-1763-B,216-1799-B,216-1829-B,216-1862-B
