今や遅しと いまやおそしと	96-251-B,152-1669-B
今一 いまいち	14-1881-B
今一つ いまひとつ	14-1911-B
今以て いまもって	289-2674-B,336-4374-B
今回 こんかい	171-2396-B,201-2943-B
今夕 こんせき	309-5083-B
今夕 こんゆう	309-5113-B
今夜 こんや	309-5143-B
今宵 こよい	309-5170-B
今尚 いまなお	289-2708-B
今度 こんど	201-2969-B
今後 こんご	144-1149-B
今日 きょう	309-1548-B
今日 こんにち	309-1573-B
今日は こんにちは	143-3660-B
今日日 きょうび	201-3439-B
今日的 こんにちてき	192-1588-B,321-1312-B
今時 いまどき	201-3473-B,243-2554-B,309-1601-B
今晩 こんばん	309-5197-B
今更 いまさら	201-2992-B
今次 こんじ	198-5522-B,243-2401-B
今程 いまほど	243-2585-B
今般 こんぱん	201-3018-B,243-2616-B
今道心 いまどうしん	198-2673-B,201-2407-B
介 かい	186-177-B,271-1411-B,271-1813-B
介する かいする	42-2432-B,189-4817-B,335-2891-B
介入 かいにゅう	163-1694-B
介助 かいじょ	20-4803-B,143-4602-B,265-244-B
介在 かいざい	162-6519-B,163-1732-B
介抱 かいほう	202-186-B
介添え かいぞえ	20-4835-B,143-4631-B,265-273-B
介護 かいご	202-216-B
仍って よって	3-6005-B,62-185-B,306-195-B
仏塔 ぶっとう	211-280-B
仏臭い ほとけくさい	261-1634-B
仏門 ぶつもん	230-1885-B
仔牛 こうし	40-2315-B
仔犬 こいぬ	236-5452-B
仔猫 こねこ	169-1235-B
仔細 しさい	145-2039-B,162-3404-B,203-2273-B,274-195-B
仔羊 こひつじ	170-2197-B
仔虫 しちゅう	171-1221-B
仕 し	204-2353-B
仕える つかえる	268-5704-B
仕え奉る つかえまつる	268-5735-B
仕え女 つかえめ	181-425-B
仕る つかまつる	91-1360-B,268-5775-B
仕を致す しをいたす	252-211-B
仕上 しあげ	101-887-B
仕上がり しあがり	57-6785-B,101-910-B,119-1862-B
仕上げ しあげ	101-942-B
仕上げる しあげる	57-4946-B
仕上げ工 しあげこう	119-2486-B
仕事 しごと	100-2078-B,203-4540-B,334-5694-B
仕事台 しごとだい	335-518-B
仕事師 しごとし	263-1166-B,335-1163-B
仕事部屋 しごとべや	335-1570-B
仕付け しつけ	86-2895-B
仕付ける しつける	26-3323-B,222-1276-B,301-4663-B
仕儀 しぎ	208-4749-B,275-4115-B
仕入れ しいれ	290-569-B
仕入れる しいれる	231-4576-B
仕入れ先 しいれさき	297-5795-B
仕兼ねる しかねる	144-4141-B
仕出かす しでかす	91-1388-B,217-5423-B
仕出し しだし	44-1022-B,271-3905-B
仕出し屋 しだしや	44-986-B
仕出す しだす	44-958-B
仕出来す しでかす	91-1419-B,217-5462-B
仕分け しわけ	50-4976-B
