уличный уличная девка	183-5203-B
феминизм	110-1212-B
феминист	110-1238-B
феминистка	110-1264-B
фен	131-3411-B,131-3428-B
феникс	210-1836-B
феномен	210-726-B
феноменальный	210-688-B
феодализм	110-4578-B
ферма	108-2869-B,124-755-B,127-4515-B,231-4442-B
фермер	108-2979-B,127-4533-B,129-4631-B,231-4459-B
фетиш	110-4344-B
фетр	110-1042-B
фехтовальщик	110-1665-B,289-3138-B
фехтование	110-1791-B,289-3107-B
фехтовать	110-1579-B
фешенебельный	108-4176-B,299-500-B
фея	109-2478-B,212-3792-B
фиалка	318-476-B,318-1259-B
фиаско	110-4851-B
фибра	111-0-B
фига	111-2018-B
фигляр	39-3343-B
фиглярство	15-4360-B
