случай во всяком случае	16-185-B,16-473-B
составной	58-760-B,58-2083-B,58-2716-B
состояние	59-4012-B,78-2857-S,117-2497-B,178-2766-B,211-3523-B,217-1444-B,217-3985-B,260-3222-B,265-4402-B,278-3014-B,278-4552-B,283-4035-S,322-254-B
состоятельность	197-3211-B
состоятельный	197-3349-B,224-3976-B,225-1457-B,284-4914-B,322-1132-B,323-1063-B,323-1365-B
состоять	61-3805-B
состояться	132-3830-B,194-5080-B,204-3650-B
состоящий из двух частей	31-4127-B,306-1427-B,306-1482-B
состоящий из трех частей	303-3235-B
сострадание	57-3066-B,180-740-B,180-1120-B,212-3567-B,249-3130-B
сострадательный	57-3208-B,180-604-B,212-3331-B
состряпать	59-2198-B,106-4059-B
состязание	57-4488-B,62-5734-B,177-4450-B
состязание в беге	230-3044-B
состязаться	57-4107-B,62-4425-B
сосуд	62-3094-B,158-3064-B,234-5416-B,317-786-B
сосудистый	315-4909-B
сосулька	142-1646-B
сосунок	285-2204-B,285-2326-B
сосуществование	54-2205-B
сосуществовать	54-2168-B
сотрудник	53-3891-B,55-355-B,63-3618-B,64-3729-B
сотрудничать	54-4308-B,64-3548-B
сотрудничество	53-3784-B,54-4393-B,64-3616-B,204-2391-B
сотрясать	158-3079-B,260-1399-B
сотрясаться	260-1424-B
сотрясение	57-112-B,59-3296-B,158-3102-B,260-1641-B,262-1906-B,302-4997-B
