rinceni	59-3635-B,59-3671-B,272-1210-B
rincet	59-3688-B
rincivy	59-3581-B
ring	286-656-B
rinitida	285-266-B
rinkot	59-3618-B
rise	107-1497-S,115-246-B,127-3330-S,128-1251-S,273-1274-B
rise divu	376-1446-B
rise snu	107-1553-B,107-1663-B
rise vil	127-3394-B
risk	286-2744-B
riskantni	54-3011-B,86-1977-B,96-2944-B,104-2498-B,161-1259-B,181-1463-B,244-2877-B,286-2856-B,348-1207-B,360-2396-B,374-1551-B
riskantni politika	42-2954-B
riskantnost	161-1333-B,286-2796-B
riskovat	54-2801-B,161-1186-B,286-2754-B,321-2947-B,365-633-B
rissky	173-1279-B
ritit se	86-2998-B,252-361-B
ritni	13-2369-B
ritni otvor	15-3713-B
ritual	286-2915-B
ritualne	286-2994-B
ritualni	286-2952-B
ritualni obet	172-3002-B
ritualnost	286-2930-B
rival	286-3059-B
riz	379-1482-B
rizeni	6-2102-B,70-1065-B,74-4424-B,98-2083-B,108-626-B,193-1663-S,195-2227-S,196-92-B,196-403-B,206-3647-B,216-1087-S,232-366-B,260-3264-B,263-2895-S,323-3667-B,323-3686-B,331-2192-S,332-3140-B,351-2618-S
rizeny	108-388-B
rizika	291-0-S
riziko	54-2817-B,161-1202-B,244-2842-B,286-2768-B
rizikovost	286-2780-B,286-2818-B
rizikovy	164-2148-B
riznout	85-1171-B
riznuti	85-1185-B,175-3261-B,312-2844-B
rizny	302-3140-B,304-2978-B,366-2330-B
rizoto	188-475-S,286-2873-B
rmoutit	8-775-B,155-1708-B
rmoutit se	277-1985-B
rmut	208-3284-B,265-3286-B
ro	285-354-B
roajalista	289-333-B
roba	287-774-B
robertek	97-2845-B
robot	287-828-B
robota	351-632-B
robustne	287-871-B,329-164-B
robustne navrzeny	139-2225-B
robustni	58-2216-B,208-3150-B,287-840-B,329-326-B,343-222-B
robustnost	287-890-B,289-1778-B,329-219-B
roce	378-1820-B
rocenka	11-2167-B,14-3164-B,378-1886-B
rocheta	334-876-B
rockabilly	287-1201-B
rocker	287-1223-B
rockove hudby	287-1170-S
rocne	14-3213-B
rocni	14-3180-B,378-1946-B
rocni bycek	325-804-B
