prapor	27-2784-B,29-2078-B,135-3018-B,322-1133-B
praporecek	243-2004-B
praporek	27-2817-B,135-3030-B,243-1987-B
prapuvodni	1-2857-B
prarodic	153-3016-B
prasatko	248-1629-B
prase	165-2360-B,248-1479-B,335-2983-B
prase bradavicnate	370-888-B
praseci	254-1967-B
prasecina	312-1585-B
prasecinec	248-1592-B
prasecinka	312-1601-B
prasek	109-2988-B,129-2215-B,138-35-B,256-861-B
prasivina	293-1383-B
prasivka	346-2008-B
prasivy	207-571-B
praskac	154-757-B,222-1532-B
praskani	79-3337-B,79-3391-B,320-1464-B
praskat	79-2918-B,79-3375-B,137-2256-B
prasklina	61-108-B,61-334-B,79-2932-B,135-1337-B,146-3220-B,318-3550-B
prasknout	27-1944-B,45-2689-B,79-2948-B,309-1687-B,312-1961-B
prasknuti	27-1960-B,45-2705-B,45-2874-B,79-2964-B,290-788-B,309-1703-B,312-1976-B
prasknuti bicem	373-1237-B
praskovy	256-948-B
prasnik	15-1319-B
prasny	109-2974-B
prastary	14-74-B,172-2015-B,259-3187-B,259-3620-B
prasteny	29-2789-B,80-2152-B,105-2682-B,152-2074-B,192-2749-B,202-2516-B,202-2739-B,205-1010-B,218-2529-B,227-3218-B,256-18-B,295-3360-B
prastit	29-30-B,33-1559-B,58-1968-B,252-1038-B,266-191-B,309-1673-B,314-14-B,327-2266-B,369-1352-B
prastryc	154-3361-B
prasynovec	154-3315-B
prat	195-955-B,295-1085-B,369-2275-B,370-1201-B,375-1522-B
prat si	94-1389-B,369-2287-B,375-1534-B
pratel	143-2602-S
pratele	192-215-B
pratelit se	142-2808-B,142-2969-B
pratelny	370-1332-B
pratelskost	143-2626-B,224-602-B
pratelsky	7-3491-B,12-3663-B,139-930-B,143-2671-B,152-1594-B,191-2192-B,191-2464-B,313-2784-B,313-2863-B
pratelstvi	12-3870-B,67-509-B,68-4055-B,131-1981-B,143-2782-B,152-1904-B
prateta	154-3296-B
pratlakova komora	9-3709-B
prav	75-2995-S,100-2314-S
prava	99-2179-S,100-1747-S,104-92-S,211-779-S
pravak	285-2664-B
pravda	127-2165-B,203-2014-S,285-2420-B,315-1406-B,352-2919-B,353-744-B,353-935-S,353-1956-B,365-1761-B
pravdepodobne	105-3529-B,199-1407-B,259-218-B,259-383-B,260-2130-B,260-2194-B,333-2831-B
pravdepodobnost	199-1356-B,250-3218-B,260-2057-B,365-1708-B
